t,NO2,t-1,t-2,t-3,t-4,year,month,day,dayofweek,dayofyear,month_sin,month_cos,day_sin,day_cos
2022-03-28,2.374047e-05,2.8319262e-05,2.374047e-05,2.0093042292307693e-05,1.8269328438461534e-05,2022,3,28,0,87,1.0,6.123233995736766e-17,-0.5712682150947924,0.8207634412072763
2022-03-28,2.8319262e-05,2.374047e-05,2.8319262e-05,2.374047e-05,2.0093042292307693e-05,2022,3,28,0,87,1.0,6.123233995736766e-17,-0.5712682150947924,0.8207634412072763
2022-03-29,3.75844e-05,2.8319262e-05,2.374047e-05,2.8319262e-05,2.374047e-05,2022,3,29,1,88,1.0,6.123233995736766e-17,-0.3943558551133187,0.9189578116202306
2022-03-29,2.3100152e-05,3.75844e-05,2.8319262e-05,2.374047e-05,2.8319262e-05,2022,3,29,1,88,1.0,6.123233995736766e-17,-0.3943558551133187,0.9189578116202306
2022-03-29,2.9221332e-05,2.3100152e-05,3.75844e-05,2.8319262e-05,2.374047e-05,2022,3,29,1,88,1.0,6.123233995736766e-17,-0.3943558551133187,0.9189578116202306
2022-03-29,3.4316272e-05,2.9221332e-05,2.3100152e-05,3.75844e-05,2.8319262e-05,2022,3,29,1,88,1.0,6.123233995736766e-17,-0.3943558551133187,0.9189578116202306
2022-03-30,9.011247e-06,3.4316272e-05,2.9221332e-05,2.3100152e-05,3.75844e-05,2022,3,30,2,89,1.0,6.123233995736766e-17,-0.20129852008866114,0.9795299412524943
2022-03-30,2.121122e-05,9.011247e-06,3.4316272e-05,2.9221332e-05,2.3100152e-05,2022,3,30,2,89,1.0,6.123233995736766e-17,-0.20129852008866114,0.9795299412524943
2022-03-30,9.011247e-06,2.121122e-05,9.011247e-06,3.4316272e-05,2.9221332e-05,2022,3,30,2,89,1.0,6.123233995736766e-17,-0.20129852008866114,0.9795299412524943
2022-03-30,2.3435145e-05,9.011247e-06,2.121122e-05,9.011247e-06,3.4316272e-05,2022,3,30,2,89,1.0,6.123233995736766e-17,-0.20129852008866114,0.9795299412524943
2022-03-31,3.3640874e-05,2.3435145e-05,9.011247e-06,2.121122e-05,9.011247e-06,2022,3,31,3,90,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0
2022-03-31,1.984164e-05,3.3640874e-05,2.3435145e-05,9.011247e-06,2.121122e-05,2022,3,31,3,90,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0
2022-03-31,1.9883732e-05,1.984164e-05,3.3640874e-05,2.3435145e-05,9.011247e-06,2022,3,31,3,90,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0
2022-03-31,2.0677531e-05,1.9883732e-05,1.984164e-05,3.3640874e-05,2.3435145e-05,2022,3,31,3,90,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0
2022-04-01,1.8533015555555555e-05,2.0677531e-05,1.9883732e-05,1.984164e-05,3.3640874e-05,2022,4,1,4,91,0.8660254037844387,-0.4999999999999998,0.20129852008866006,0.9795299412524945
2022-04-01,1.7878703333333333e-05,1.8533015555555555e-05,2.0677531e-05,1.9883732e-05,1.984164e-05,2022,4,1,4,91,0.8660254037844387,-0.4999999999999998,0.20129852008866006,0.9795299412524945
2022-04-01,1.722439111111111e-05,1.7878703333333333e-05,1.8533015555555555e-05,2.0677531e-05,1.9883732e-05,2022,4,1,4,91,0.8660254037844387,-0.4999999999999998,0.20129852008866006,0.9795299412524945
2022-04-01,1.9187327777777777e-05,1.722439111111111e-05,1.7878703333333333e-05,1.8533015555555555e-05,2.0677531e-05,2022,4,1,4,91,0.8660254037844387,-0.4999999999999998,0.20129852008866006,0.9795299412524945
2022-04-02,1.657007888888889e-05,1.9187327777777777e-05,1.722439111111111e-05,1.7878703333333333e-05,1.8533015555555555e-05,2022,4,2,5,92,0.8660254037844387,-0.4999999999999998,0.39435585511331855,0.9189578116202306
2022-04-02,1.5915766666666668e-05,1.657007888888889e-05,1.9187327777777777e-05,1.722439111111111e-05,1.7878703333333333e-05,2022,4,2,5,92,0.8660254037844387,-0.4999999999999998,0.39435585511331855,0.9189578116202306
2022-04-02,1.5261454444444446e-05,1.5915766666666668e-05,1.657007888888889e-05,1.9187327777777777e-05,1.722439111111111e-05,2022,4,2,5,92,0.8660254037844387,-0.4999999999999998,0.39435585511331855,0.9189578116202306
2022-04-02,1.4607142222222222e-05,1.5261454444444446e-05,1.5915766666666668e-05,1.657007888888889e-05,1.9187327777777777e-05,2022,4,2,5,92,0.8660254037844387,-0.4999999999999998,0.39435585511331855,0.9189578116202306
2022-04-03,1.395283e-05,1.4607142222222222e-05,1.5261454444444446e-05,1.5915766666666668e-05,1.657007888888889e-05,2022,4,3,6,93,0.8660254037844387,-0.4999999999999998,0.5712682150947923,0.8207634412072763
2022-04-03,1.6465988e-05,1.395283e-05,1.4607142222222222e-05,1.5261454444444446e-05,1.5915766666666668e-05,2022,4,3,6,93,0.8660254037844387,-0.4999999999999998,0.5712682150947923,0.8207634412072763
2022-04-03,1.8979146e-05,1.6465988e-05,1.395283e-05,1.4607142222222222e-05,1.5261454444444446e-05,2022,4,3,6,93,0.8660254037844387,-0.4999999999999998,0.5712682150947923,0.8207634412072763
2022-04-03,2.1576008e-05,1.8979146e-05,1.6465988e-05,1.395283e-05,1.4607142222222222e-05,2022,4,3,6,93,0.8660254037844387,-0.4999999999999998,0.5712682150947923,0.8207634412072763
2022-04-04,2.0368647e-05,2.1576008e-05,1.8979146e-05,1.6465988e-05,1.395283e-05,2022,4,4,0,94,0.8660254037844387,-0.4999999999999998,0.72479278722912,0.6889669190756866
2022-04-04,3.022738e-05,2.0368647e-05,2.1576008e-05,1.8979146e-05,1.6465988e-05,2022,4,4,0,94,0.8660254037844387,-0.4999999999999998,0.72479278722912,0.6889669190756866
2022-04-04,3.022738e-05,3.022738e-05,2.0368647e-05,2.1576008e-05,1.8979146e-05,2022,4,4,0,94,0.8660254037844387,-0.4999999999999998,0.72479278722912,0.6889669190756866
2022-04-04,2.417287e-05,3.022738e-05,3.022738e-05,2.0368647e-05,2.1576008e-05,2022,4,4,0,94,0.8660254037844387,-0.4999999999999998,0.72479278722912,0.6889669190756866
2022-04-05,1.930728e-05,2.417287e-05,3.022738e-05,3.022738e-05,2.0368647e-05,2022,4,5,1,95,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624
2022-04-05,8.66061e-06,1.930728e-05,2.417287e-05,3.022738e-05,3.022738e-05,2022,4,5,1,95,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624
2022-04-05,1.942905e-05,8.66061e-06,1.930728e-05,2.417287e-05,3.022738e-05,2022,4,5,1,95,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624
2022-04-05,7.763585e-06,1.942905e-05,8.66061e-06,1.930728e-05,2.417287e-05,2022,4,5,1,95,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624
2022-04-06,9.7277644e-06,7.763585e-06,1.942905e-05,8.66061e-06,1.930728e-05,2022,4,6,2,96,0.8660254037844387,-0.4999999999999998,0.9377521321470804,0.3473052528448203
2022-04-06,1.16919438e-05,9.7277644e-06,7.763585e-06,1.942905e-05,8.66061e-06,2022,4,6,2,96,0.8660254037844387,-0.4999999999999998,0.9377521321470804,0.3473052528448203
2022-04-06,1.3656123200000002e-05,1.16919438e-05,9.7277644e-06,7.763585e-06,1.942905e-05,2022,4,6,2,96,0.8660254037844387,-0.4999999999999998,0.9377521321470804,0.3473052528448203
2022-04-06,1.5620302600000002e-05,1.3656123200000002e-05,1.16919438e-05,9.7277644e-06,7.763585e-06,2022,4,6,2,96,0.8660254037844387,-0.4999999999999998,0.9377521321470804,0.3473052528448203
2022-04-07,7.631049e-06,1.5620302600000002e-05,1.3656123200000002e-05,1.16919438e-05,9.7277644e-06,2022,4,7,3,97,0.8660254037844387,-0.4999999999999998,0.9884683243281114,0.1514277775045767
2022-04-07,1.7584482e-05,7.631049e-06,1.5620302600000002e-05,1.3656123200000002e-05,1.16919438e-05,2022,4,7,3,97,0.8660254037844387,-0.4999999999999998,0.9884683243281114,0.1514277775045767
2022-04-07,7.631049e-06,1.7584482e-05,7.631049e-06,1.5620302600000002e-05,1.3656123200000002e-05,2022,4,7,3,97,0.8660254037844387,-0.4999999999999998,0.9884683243281114,0.1514277775045767
